Date,Pros,Cons,Advice to Management,Rating,Employement_status,Designation,Location,Work_Life_Bal,Culture_Values,Career_Opportunity,Compensation_Benefits,Senior Management
05-May-20,"Good work life balance.
Learning opportunities.
MNC infrastructure facilities.
Onsite opportunities.",Not much as of now.,,5,Current Employee,Programmer Analyst,Calcutta,5,3,5,5,3
14-Mar-16,"I joined Cognizant in August, 2015 as a fresher and fortunately, I am going to leave it in few days. There are not much pros. After thinking hard, I was able to come across with few of them.
1. If you do not want to work much or stretch yourself, this is a place for you. It is a relaxed kind of job for freshers like any government job
2. Basic amenities and infrastructure of any location are very good.","1. It is often tough for a fresher to get his/her first project after the completion of training. 50% of them remain in bench for a lond period of time which does not count to their professional experience much.
2. Even if some freshers get deployed into project immediately after the training (the lucky ones), they may get maintenance work, ticketing etc. which is a sheer waste of their talent. Only around 20% of the people ( who are deployed into the project) get some good work like that of a developer. Hence, we see that around 10% of the freshers manage to get some good stuff.
3. Salary is very bad for the freshers. Hike is also extremely poor.
4. Unlike other IT companies like Infosys, low level management is extremely bad. There will be absolutely no one to guide you if you want some kind of help. They do not care about freshers. Many a times, it is like you are on your own. 
5. Bad training. Seriously, their only aim is to anyhow complete the training.
6. Deployment of freshers into the project is completey random. A guy who is not much technically sound can get a very good project while the deserving guys may get the bench.
7. In terms of transparency is absolutely 0.","Lots of. I am listing only few of them. First of all, respect your freshers. Make the system little transparent. Apply some kind of meritocracy instead of random and haphazard process for the selection of freshers in the project.",5,Current Employee,Programmer Analyst Trainee,Bangalore,5,2,2,2,1
11-Jun-20,good in work life balance.,i feel worst middle level management.,,5,Current Employee,Associate,Ahmedabad,5,5,5,5,5
11-Jun-20,"Work life balance
Good opportunity for learning",I don't find anything its great place to work,,5,Current Employee,Software Developer,Pune,5,5,5,5,5
11-Jun-20,Freedom in taking decision and driving independently,off late not 'associate' friendly,,4,Current Employee,Test Program Manager,Chennai,3,1,2,2,2
10-Jun-20,Amazing place to learn and pave your career,Organisation offers many opportunities but it all ends at managers line,The above mentioned cons can be improved.,5,Former Employee,Senior Process Executive,Hyderābād,3,5,5,3,3
10-Jun-20,Provides many learning platforms to self learn and upskill,May be they can have platform for case studies internally and actively emphasize to use the same,,5,Current Employee,Senior Associate,Chennai,5,4,5,5,3
11-Jun-20,"Excellent opportunities, Great culture Nice place to work",Department transfers are not that flexible,,5,Current Employee,Senior Manager,Pune,4,4,5,4,4
11-Jun-20,Good opportunity to enhance current skills and knowledge. Nice place to work.,Good place for beginners to develop their IT career.,,5,Current Employee,Tech Lead,Calcutta,5,5,5,5,5
10-Jun-20,Almost all the facility that MNC provides.So many project so you can get other one if you face any difficulty in current one,Fixed growth . No good hikes,,4,Current Employee,Associate,Pune,4,4,2,3,4
10-Jun-20,Good place to be work on .,No such concerns as of now,,4,Current Employee,Senior NOC Engineer,Bangalore,4,5,4,3,4
10-Jun-20,Work culture is good and systematic,Sometime it can be Stressful,,4,Former Employee,Trainee Junior Data Analyst,Calcutta,3,4,4,3,4
10-Jun-20,"Good organization
Nice Seniors
Perks
Less work load
Good escalation","Salary bit low
Monotonous
Lacks creativity
Slow growth
...",,4,Current Employee,Programmer Analyst @ Cognizant Technology Solutions,Bangalore,4,4,4,4,4
11-Jun-20,#NAME?,#NAME?,,4,Current Employee,Programmer Analyst,Bangalore,4,3,4,3,3
11-Jun-20,amazing workplace good work life balance,hectic work schedule sometimes okay,,4,Current Employee,Associate,"Gurgaon, Haryana",4,4,4,4,4
11-Jun-20,Good place to grow profesionally,Nothing for say as such,,4,Current Employee,INFRA TECHNOLOGY SPECIALIST,Bangalore,3,4,4,3,3
10-Jun-20,Good for various opportunities in different technology,Nothing as such that I had to face.,,5,Current Employee,Anonymous Employee,,,,,,
09-Jun-20,Development projects are good enough,Training is bit tough as a fresher in chennai location,,4,Current Employee,Programmer Analyst,Pune,4,3,4,3,3
10-Jun-20,US type work culture and better hikes compared to other folks,the heavy risk that they may opt u out If u don't have any project,,4,Current Employee,Anonymous Employee,Chennai,3,1,3,3,1
08-Jun-20,More things to learn in this company,You get as you expected towards the work,,4,Current Employee,Desktop Support Engineer,Pune,4,3,3,3,3
08-Jun-20,Excellent Work-Life Balance but Occasionally your weekends are also consumed,"On-coming of a new CEO, occasionally Saturdays were made mandatory working days (in India) and Increments became no longer luring.","If you'r proving 6th day pay or a comp-off in place, you can demand Saturdays as working days.",4,Current Employee,Infra Developer,Pune,5,4,4,3,2
08-Jun-20,Good Work Culture and HR Policies,Not faced any issue when worked there,,4,Former Employee,Associate,Pune,4,4,4,4,4
08-Jun-20,Nothing much to mention here,Maintaining minimum number of 9 hrs inside office,,4,Current Employee,Associate Consultant,Bangalore,3,4,3,3,3
08-Jun-20,Good company for beginners with good package,No  everything is good here,,4,Current Employee,Anonymous Employee,,,,,,
08-Jun-20,"All good,work life balance, good management.",No. I have found yet.,Nothing,4,Current Employee,Programmer Analyst,,3,3,3,2,4
08-Jun-20,Good work culture and flexible hours,Less hike and poor appraisal process,,4,Current Employee,Senior Associate,Chennai,4,4,4,4,4
08-Jun-20,"very well, supporting team good",financials you don't get work from home,,4,Current Employee,QA Tester,Pune,2,4,4,2,4
08-Jun-20,This is a good company for freshers,Not many cons found here,,4,Current Employee,Programmer Analyst,Hyderābād,,,,,
08-Jun-20,"Work environment is good, supportive staff, learning new technologies",Change in policies every year,,4,Former Employee,Project Associate,Bangalore,4,4,4,3,3
